Epoch,Step,Train_Loss,Val_Loss,Bleu_1,Bleu_2,Bleu_3,Bleu_4,CIDEr
0,100,5.7451073232323235,2.590394668979745,,,,,
0,200,3.7597853535353534,2.3528359506868903,,,,,
0,300,3.2542613636363638,1.995377262284321,,,,,
0,400,2.8980429292929295,1.7937885350243812,,,,,
0,500,2.6962594696969697,1.7118635127531883,,,,,
0,600,2.570549242424242,1.656483701003376,,,,,
0,700,2.4572285353535355,1.6436893036735747,,,,,
0,800,2.353298611111111,1.5983240194814328,,,,,
0,900,2.321022727272727,1.6540415621483495,,,,,
0,1000,2.2529987373737375,1.4878079871530383,,,,,
0,1100,2.202493686868687,1.4925603959583646,,,,,
0,1200,2.133917297979798,1.4669419307951987,,,,,
0,1300,2.203361742424242,1.4798416400975243,,,,,
0,1400,2.1207386363636362,1.464075247327457,,,,,
0,1500,2.0600536616161618,1.427323749882783,,,,,
0,1600,2.062263257575758,1.4257856456301576,,,,,
0,1700,2.023910984848485,1.3754868160399474,,,,,
0,1800,2.0632891414141414,1.3887597876031508,,,,,
0,1900,1.9898200757575757,1.4697258298949738,,,,,
0,2000,2.0213857323232323,1.4139588363887847,,,,,
0,2100,1.9801925505050506,1.3842531677841334,,,,,
0,2130,,,0.7305917800189059,0.6255947347018834,0.5296999099547208,0.4341566901280981,1.316070790693877
1,2200,1.9136679292929293,1.3726622573612153,,,,,
1,2300,1.950915404040404,1.3363869531836083,,,,,
1,2400,1.9271622474747474,1.3402986977213054,,,,,
1,2500,1.922979797979798,1.3331004870358214,,,,,
1,2600,1.9419191919191918,1.3446423129219804,,,,,
1,2700,1.9392361111111112,1.3266722442329333,,,,,
1,2800,1.8590593434343434,1.3172143133439609,,,,,
1,2900,1.9031723484848484,1.3561475085568266,,,,,
